Stroke,Piston_Velocity_mps,Flow_Rate_m3ps,Flow_Rate_Lpm,Motor_Speed_rpm,Angular_Speed_radps,EMF_V,Regenerated_Power_W,Chamber_Area_m2
Compression,0,0,0,0,0,0,0,0.001963
Compression,0.01,1.963e-05,1.1778,108.16,11.32,10.53,2.77,0.001963
Compression,0.02,3.926e-05,2.3556,216.33,22.65,21.06,11.09,0.001963
Compression,0.03,5.889e-05,3.5334,324.49,33.98,31.6,24.96,0.001963
Compression,0.04,7.852e-05,4.7112,432.66,45.3,42.13,44.38,0.001963
Compression,0.05,9.815e-05,5.889,540.82,56.63,52.67,69.35,0.001963
Compression,0.06,0.00011778,7.0668,648.99,67.96,63.2,99.87,0.001963
Compression,0.07,0.00013741,8.2446,757.15,79.28,73.73,135.93,0.001963
Compression,0.08,0.00015704,9.4224,865.32,90.61,84.27,177.54,0.001963
Compression,0.09,0.00017667,10.6002,973.48,101.94,94.8,224.71,0.001963
Compression,0.1,0.0001963,11.778,1081.65,113.27,105.34,277.42,0.001963
Compression,0.11,0.00021593,12.9558,1189.81,124.59,115.87,335.67,0.001963
Compression,0.12,0.00023556,14.1336,1297.98,135.92,126.4,399.48,0.001963
Compression,0.13,0.00025519,15.3114,1406.14,147.25,136.94,468.84,0.001963
Compression,0.14,0.00027482,16.4892,1514.31,158.57,147.47,543.74,0.001963
Compression,0.15,0.00029445,17.667,1622.47,169.9,158.01,624.19,0.001963
Extension,0,0,0,0,0,0,0,0.001649
Extension,0.01,1.649e-05,0.9894,90.86,9.51,8.84,1.95,0.001649
Extension,0.02,3.298e-05,1.9788,181.72,19.03,17.69,7.83,0.001649
Extension,0.03,4.947e-05,2.9682,272.58,28.54,26.54,17.61,0.001649
Extension,0.04,6.596e-05,3.9576,363.45,38.06,35.39,31.32,0.001649
Extension,0.05,8.245e-05,4.947,454.31,47.57,44.24,48.94,0.001649
Extension,0.06,9.894e-05,5.9364,545.17,57.09,53.09,70.47,0.001649
Extension,0.07,0.00011543,6.9258,636.04,66.6,61.94,95.92,0.001649
Extension,0.08,0.00013192,7.9152,726.9,76.12,70.79,125.29,0.001649
Extension,0.09,0.00014841,8.9046,817.76,85.63,79.64,158.57,0.001649
Extension,0.1,0.0001649,9.894,908.63,95.15,88.49,195.76,0.001649
Extension,0.11,0.00018139,10.8834,999.49,104.66,97.34,236.87,0.001649
Extension,0.12,0.00019788,11.8728,1090.35,114.18,106.18,281.9,0.001649
Extension,0.13,0.00021437,12.8622,1181.22,123.69,115.03,330.84,0.001649
Extension,0.14,0.00023086,13.8516,1272.08,133.21,123.88,383.7,0.001649
Extension,0.15,0.00024735,14.841,1362.94,142.72,132.73,440.47,0.001649
